Google 地圖連結,店家名稱,評分,店家類型,地址,打烊時間,電話,R8c4Qb,實體和線上,其他服務,網站
https://www.google.com/maps/place/%E5%A4%A7%E6%A6%AE%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E8%A1%8C/data=!4m7!3m6!1s0x346e0510f32d8a89:0xaeeb40865cf5dacd!8m2!3d22.668693!4d120.3123333!16s%2Fg%2F11c45njt78!19sChIJiYot8xAFbjQRzdr1XIZA664?authuser=0&hl=zh-TW&rclk=1,大榮水電材料行,3.4,商店,新庄仔路467號,· 打烊時間：18:00,07 346 0307,規劃路線,,,
https://www.google.com/maps/place/%E5%A4%A7%E5%88%A9%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x346e05edc0d2c2ff:0xb24f617378a65384!8m2!3d22.6705725!4d120.309659!16s%2Fg%2F11nchpc9nq!19sChIJ_8LSwO0FbjQRhFOmeHNhT7I?authuser=0&hl=zh-TW&rclk=1,大利水電工程行,5,水電承辦商,自由三路101巷35號,· 打烊時間：20:00,0981 771 068,規劃路線,門市服務,線上估價服務,
https://www.google.com/maps/place/%E5%AF%B6%E7%9B%9B%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e051f2cc12b45:0xcd02618b7775732f!8m2!3d22.660785!4d120.3179499!16s%2Fg%2F11bw7dbjf3!19sChIJRSvBLB8FbjQRL3N1d4thAs0?authuser=0&hl=zh-TW&rclk=1,寶盛水電行,4.9,水匠,鼎泰街7號,：17:00 · 開始營業時間：週五08:00,07 341 1349,規劃路線,,,
https://www.google.com/maps/place/%E6%B5%A4%E7%A8%8B%E6%B0%B4%E9%9B%BB/data=!4m7!3m6!1s0x346e05263628db17:0xa6bab7cbb746a39a!8m2!3d22.662037!4d120.3179522!16s%2Fg%2F11p059t6p1!19sChIJF9soNiYFbjQRmqNGt8u3uqY?authuser=0&hl=zh-TW&rclk=1,浤程水電,4.5,水電承辦商,鼎泰街45號,· 打烊時間：18:00,0981 204 366,網站,,,https://trunslu.com.tw/hydropower/
https://www.google.com/maps/place/%E5%A5%BD%E5%AE%B6%E5%9C%A8%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x346e05e46d75b6a1:0x25bc3a5e8dba830b!8m2!3d22.6596647!4d120.3105846!16s%2Fg%2F11mvsdl14c!19sChIJobZ1beQFbjQRC4O6jV46vCU?authuser=0&hl=zh-TW&rclk=1,好家在水電工程行,4.8,水匠,至聖路19號不是實體店面，勿直接前往，請電話聯繫,· 打烊時間：18:00,0931 778 869,網站,門市服務,線上估價服務,https://lin.ee/UNuf7Bq
https://www.google.com/maps/place/%E6%B0%B8%E5%AE%8F%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B/data=!4m7!3m6!1s0x346e0518d38ac6c7:0x7932e36d11f72fff!8m2!3d22.6607049!4d120.3180668!16s%2Fg%2F11dflbgqd2!19sChIJx8aK0xgFbjQR_y_3EW3jMnk?authuser=0&hl=zh-TW&rclk=1,永宏水電工程,5,水電承辦商,鼎泰街4號,? 開始營業時間：週五07:30,0903 927 882,網站,,,https://lin.ee/mmQJtjV
https://www.google.com/maps/place/%E7%91%9E%E9%B4%BB%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E8%A1%8C/data=!4m7!3m6!1s0x346e0522166ea1f3:0x40b75c59021201ae!8m2!3d22.660947!4d120.321815!16s%2Fg%2F11gc_rkhpx!19sChIJ86FuFiIFbjQRrgESAllct0A?authuser=0&hl=zh-TW&rclk=1,瑞鴻水電材料行,4.7,水管用品店,鼎山街198號,· 打烊時間：18:25,,網站,店內購物,來店取貨,https://lin.ee/OleJ5gT
https://www.google.com/maps/place/%E5%BB%BA%E7%A6%BE%E6%B0%B4%E9%9B%BB%E8%A1%8C/data=!4m7!3m6!1s0x346e057cf6ee683b:0xb43087bd5a34b5fa!8m2!3d22.6616093!4d120.3176679!16s%2Fg%2F11r5p98lfs!19sChIJO2ju9nwFbjQR-rU0Wr2HMLQ?authuser=0&hl=zh-TW&rclk=1,建禾水電行,5,水匠,金山路383號,· 打烊時間：18:00,0929 638 996,規劃路線,不提供門市服務,,
https://www.google.com/maps/place/%E6%89%BF%E5%AE%8F%E6%B0%B4%E9%9B%BB%E4%BA%94%E9%87%91%E6%9D%90%E6%96%99%E8%A1%8C/data=!4m7!3m6!1s0x346e0509b63df4df:0x8728b45a14e9a60f!8m2!3d22.6732926!4d120.2987772!16s%2Fg%2F1pzrws101!19sChIJ3_Q9tgkFbjQRD6bpFFq0KIc?authuser=0&hl=zh-TW&rclk=1,承宏水電五金材料行,4.2,水電承辦商,華夏路400號,· 打烊時間：18:00,07 350 1252,規劃路線,,,
https://www.google.com/maps/place/Z%E5%AE%8F%E6%B0%B4%E9%9B%BB%E7%B6%AD%E4%BF%AE/data=!4m7!3m6!1s0x346e050039e5a449:0xf6e540ebf230ab21!8m2!3d22.6744233!4d120.308391!16s%2Fg%2F11y6p6c9lm!19sChIJSaTlOQAFbjQRIasw8utA5fY?authuser=0&hl=zh-TW&rclk=1,Z宏水電維修,4.8,水電承辦商,文自路270號,,0988 505 329,網站,,,https://www.0988505329.com/
https://www.google.com/maps/place/%E5%B7%A6%E7%87%9F%E5%90%8C%E9%91%AB%E6%B0%B4%E9%9B%BB%E8%A1%8C+-+%E7%86%B1%E6%B0%B4%E5%99%A8+%EF%BD%9C+%E7%86%B1%E6%B0%B4%E7%AE%A1%E8%B7%AF%E6%B8%85%E6%B4%97/data=!4m7!3m6!1s0x346e050da00e3ff5:0xcd242b6f751f135c!8m2!3d22.6763053!4d120.3073789!16s%2Fg%2F11c1q9qzcd!19sChIJ9T8OoA0FbjQRXBMfdW8rJM0?authuser=0&hl=zh-TW&rclk=1,左營同鑫水電行 - 熱水器 ｜ 熱水管路清洗,4.6,水匠,文強路196號,· 打烊時間：18:00,0915 300 800,規劃路線,,,
https://www.google.com/maps/place/%E8%88%88%E8%A3%95%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E8%A1%8C/data=!4m7!3m6!1s0x346e053eab229af9:0xc36bf855dfa505c5!8m2!3d22.670028!4d120.3261657!16s%2Fg%2F11gdjpp263!19sChIJ-Zoiqz4FbjQRxQWl31X4a8M?authuser=0&hl=zh-TW&rclk=1,興裕水電材料行,4.1,水管用品店,鼎力路419號,· 打烊時間：18:00,07 346 5786,規劃路線,,,
https://www.google.com/maps/place/%E5%8A%9B%E6%B1%9F%E6%B0%B4%E9%9B%BB%E8%A1%8C%EF%BC%88%E5%8E%9F%EF%BC%9A%E5%AE%A5%E5%BF%97%E6%B0%B4%E9%9B%BB%E8%A1%8C%EF%BC%89/data=!4m7!3m6!1s0x346e05ddab33c6eb:0xb1a5d52ea338b058!8m2!3d22.6720124!4d120.3239737!16s%2Fg%2F11nfwx5fqd!19sChIJ68Yzq90FbjQRWLA4oy7VpbE?authuser=0&hl=zh-TW&rclk=1,力江水電行（原：宥志水電行）,4.9,水電承辦商,鼎金後路462號,· 打烊時間：20:00,0902 208 873,規劃路線,門市服務,線上估價服務,
https://www.google.com/maps/place/%E7%89%B9%E6%AC%A3%E8%A1%8C%28%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E8%A1%8C%29-%E9%AB%98%E9%9B%84%E5%B7%A6%E7%87%9F%E5%BA%97/data=!4m7!3m6!1s0x346e05779d8ef2c9:0x2ddb0a032751bfbd!8m2!3d22.676781!4d120.3172556!16s%2Fg%2F11t1h1q9cp!19sChIJyfKOnXcFbjQRvb9RJwMK2y0?authuser=0&hl=zh-TW&rclk=1,特欣行(水電材料行)-高雄左營店,4.3,水管用品店,菜公一路26巷62號,：17:00 · 開始營業時間：週五08:00,07 345 6839,網站,店內購物,來店取貨,https://www.testpro.com.tw/
https://www.google.com/maps/place/%E9%BC%8E%E8%B2%B4%E8%B7%AF%E6%B0%B4%E9%9B%BB/data=!4m7!3m6!1s0x346e058a1edf3d1b:0x8058f587cf93aa5f!8m2!3d22.673196!4d120.325047!16s%2Fg%2F11rr2v9kgl!19sChIJGz3fHooFbjQRX6qTz4f1WIA?authuser=0&hl=zh-TW&rclk=1,鼎貴路水電,5,水電承辦商,鼎貴路76號2樓,·,0955 003 790,網站,線上估價服務,不提供門市服務,https://www.0988505329.com/?fbclid=IwAR06GvE4JMH2ztl4x88dVRvazukB2fEgL0jbxBDnf29QpV_eioTrOfWDwa4
https://www.google.com/maps/place/%E6%9D%89%E5%8F%8B%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E5%B0%88%E8%B3%A3%E5%BA%97/data=!4m7!3m6!1s0x346e05f7e74c99f5:0x13ca92d14f00de04!8m2!3d22.655421!4d120.319973!16s%2Fg%2F11vhgh727h!19sChIJ9ZlM5_cFbjQRBN4AT9GSyhM?authuser=0&hl=zh-TW&rclk=1,杉友水電材料專賣店,4.9,水管用品店,鼎山街432號,· 打烊時間：17:30,07 383 0181,網站,外送,,http://www.elions.com.tw/
https://www.google.com/maps/place/%E6%98%8E%E6%96%B0%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/data=!4m7!3m6!1s0x346e0569533a166f:0xef900d4369f01d1e!8m2!3d22.682748!4d120.314915!16s%2Fg%2F1pztl9z_h!19sChIJbxY6U2kFbjQRHh3waUMNkO8?authuser=0&hl=zh-TW&rclk=1,明新水電材料有限公司,4.1,五金用品店,自由四路186號,· 打烊時間：18:00,07 346 2560,網站,外送,,https://lin.ee/ejr9Jcd
https://www.google.com/maps/place/%E5%BB%A3%E5%A4%A7%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99%E8%A1%8C/data=!4m7!3m6!1s0x346e04dded3b7da1:0xf46fe66abaf9ab46!8m2!3d22.648088!4d120.321334!16s%2Fg%2F1tg9kwc7!19sChIJoX077d0EbjQRRqv5umrmb_Q?authuser=0&hl=zh-TW&rclk=1,廣大水電材料行,4.3,衛浴用品店,建興路410號,· 打烊時間：17:30,07 382 5343,規劃路線,,,
https://www.google.com/maps/place/%E6%96%B0%E6%B4%BA%E6%98%8C%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99-%E5%A4%A7%E6%98%8C%E5%BA%97+%E8%88%9E%E5%85%89LED%E9%9B%BB%E7%87%88+%E9%96%8B%E9%97%9C%E6%8F%92%E5%BA%A7+%E9%A6%AC%E9%81%94+%E6%B0%B4%E5%A1%94+%E5%87%B1%E6%92%92%E8%A1%9B%E6%B5%B4%E8%A8%AD%E5%82%99+%E5%8D%97%E4%BA%9E%E5%A1%91%E8%86%A0+%E4%BA%94%E9%87%91%E5%B7%A5%E5%85%B7+%E6%B0%B4%E9%9B%BB%E5%A7%94%E4%BB%BB/data=!4m7!3m6!1s0x346e0512f023719d:0xa1ae34377062436!8m2!3d22.6539953!4d120.3260846!16s%2Fg%2F11jxb6y8k3!19sChIJnXEj8BIFbjQRNiQGd0PjGgo?authuser=0&hl=zh-TW&rclk=1,新洺昌水電材料-大昌店 舞光LED電燈 開關插座 馬達 水塔 凱撒衛浴設備 南亞塑膠 五金工具 水電委任,4.6,水管用品店,大昌一路120號,· 打烊時間：17:30,07 383 5565,網站,店內購物,來店取貨,https://www.facebook.com/%E6%96%B0%E6%B4%BA%E6%98%8C%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99-%E5%A4%A7%E6%98%8C%E5%88%86%E5%BA%97-100167161756810/
https://www.google.com/maps/place/%E7%AB%A3%E5%8D%87%E6%B0%B4%E9%9B%BB%E5%AE%85%E4%BF%AE/data=!4m7!3m6!1s0x346e04ef01fa1def:0xb07a5821767752fd!8m2!3d22.6432591!4d120.3121752!16s%2Fg%2F11ggj__m39!19sChIJ7x36Ae8EbjQR_VJ3diFYerA?authuser=0&hl=zh-TW&rclk=1,竣升水電宅修,4.9,水匠,熱河一街61號,· 打烊時間：18:00,0935 832 255,規劃路線,門市服務,,
https://www.google.com/maps/place/%E4%BA%AC%E5%92%8C%E4%BA%9E%E6%B0%B4%E9%9B%BB%E5%B7%A5%E7%A8%8B%E8%A1%8C/data=!4m7!3m6!1s0x346e053d0ac38ee1:0x970655e8b97ef1c9!8m2!3d22.6601393!4d120.3294969!16s%2Fg%2F11s17sl8xv!19sChIJ4Y7DCj0FbjQRyfF-uehVBpc?authuser=0&hl=zh-TW&rclk=1,京和亞水電工程行,4.9,水電承辦商,明誠一路96號2號樓之2,· 打烊時間：23:00,0968 766 357,規劃路線,線上估價服務,不提供門市服務,
https://www.google.com/maps/place/%E6%96%B0%E6%B4%BA%E6%98%8C%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99-%E5%A4%A7%E6%98%8C%E5%BA%97+%E8%88%9E%E5%85%89LED%E9%9B%BB%E7%87%88+%E9%96%8B%E9%97%9C%E6%8F%92%E5%BA%A7+%E9%A6%AC%E9%81%94+%E6%B0%B4%E5%A1%94+%E5%87%B1%E6%92%92%E8%A1%9B%E6%B5%B4%E8%A8%AD%E5%82%99+%E5%8D%97%E4%BA%9E%E5%A1%91%E8%86%A0+%E4%BA%94%E9%87%91%E5%B7%A5%E5%85%B7+%E6%B0%B4%E9%9B%BB%E5%A7%94%E4%BB%BB/data=!4m7!3m6!1s0x346e0512f023719d:0xa1ae34377062436!8m2!3d22.6539953!4d120.3260846!16s%2Fg%2F11jxb6y8k3!19sChIJnXEj8BIFbjQRNiQGd0PjGgo?authuser=0&hl=zh-TW&rclk=1,新洺昌水電材料-大昌店 舞光LED電燈 開關插座 馬達 水塔 凱撒衛浴設備 南亞塑膠 五金工具 水電委任,4.6,水管用品店,大昌一路120號,：17:30 · 開始營業時間：週五08:00,07 383 5565,網站,店內購物,來店取貨,https://www.facebook.com/%E6%96%B0%E6%B4%BA%E6%98%8C%E6%B0%B4%E9%9B%BB%E6%9D%90%E6%96%99-%E5%A4%A7%E6%98%8C%E5%88%86%E5%BA%97-100167161756810/
